"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CKLF",9.43011763148604e-16,-0.677123455961947,0.267,0.422,2.25426961980674e-11,"0","CKLF"
"PTPN12",1.10117760156754e-15,0.364345842641223,0.119,0.028,2.6323650565472e-11,"0","PTPN12"
"TMSB4X",1.32322462727821e-15,-0.275366047314887,0.996,0.999,3.16316847150856e-11,"0","TMSB4X"
"WHRN",1.49315290787158e-15,-0.436165224054697,0.025,0.125,3.56938202626702e-11,"0","WHRN"
"LAIR1",1.58562123412464e-15,0.461731951818287,0.199,0.08,3.79042756017496e-11,"0","LAIR1"
"ZNF331",1.72482388608103e-15,-0.653692628140646,0.254,0.421,4.12319149967669e-11,"0","ZNF331"
"RCBTB2",1.80096061413668e-15,0.436835125314818,0.147,0.046,4.30519634809374e-11,"0","RCBTB2"
"PFKFB3",1.80588958146694e-15,-0.515343359086328,0.069,0.197,4.31697904449671e-11,"0","PFKFB3"
"P2RY10",2.35180702756613e-15,-0.470790719117652,0.068,0.195,5.62199469939685e-11,"0","P2RY10"
"TYROBP",2.44902805863735e-15,0.507532849572598,0.636,0.441,5.85440157417259e-11,"0","TYROBP"
"C1orf162",2.50411997431465e-15,0.534253126306852,0.223,0.099,5.98609879859918e-11,"0","C1orf162"
"SNX9",3.67847326106176e-15,-0.359740036727923,0.018,0.11,8.79339033056813e-11,"0","SNX9"
"TFDP2",4.56854417449588e-15,0.525969594125652,0.216,0.096,1.09211048491324e-10,"0","TFDP2"
"GPR183",5.04504121659121e-15,-0.598074697515437,0.023,0.116,1.20601710282613e-10,"0","GPR183"
"RPS10",5.7286532733629e-15,0.54857842035858,0.552,0.419,1.3694345649974e-10,"0","RPS10"
"FTL",1.3244933088943e-14,0.25448595890226,0.981,0.945,3.16620125491182e-10,"0","FTL"
"AL139246.5",1.42248668955988e-14,0.419077752891331,0.149,0.049,3.40045443139289e-10,"0","AL139246.5"
"MAPK1",1.43346604735409e-14,0.509718033902032,0.365,0.22,3.42670058619996e-10,"0","MAPK1"
"ITM2A",1.60014010570462e-14,-0.566137315723015,0.204,0.36,3.82513492268688e-10,"0","ITM2A"
"MYO1F",1.77558893320437e-14,0.473615409272175,0.322,0.183,4.24454534482505e-10,"0","MYO1F"
"TMBIM1",1.91686644105581e-14,0.479430303537759,0.311,0.172,4.58226922734391e-10,"0","TMBIM1"
"EZR",2.01577104861085e-14,-0.702879542512284,0.418,0.542,4.81870069170424e-10,"0","EZR"
"SLC9A3R1",2.84852591212536e-14,0.439926610946027,0.574,0.438,6.80940119293568e-10,"0","SLC9A3R1"
"SLC16A3",4.00040295017646e-14,-0.47331539378673,0.075,0.198,9.56296325239684e-10,"0","SLC16A3"
"KLRB1",4.21390106439634e-14,0.422913645089623,0.529,0.347,1.00733304944394e-09,"0","KLRB1"
"RIPOR2",4.85563980517945e-14,0.394502231015412,0.333,0.184,1.16074069542815e-09,"0","RIPOR2"
"CDC25B",4.87399515433217e-14,0.395624131538579,0.272,0.139,1.16512854164311e-09,"0","CDC25B"
"TNFAIP3",5.02444345490832e-14,-0.516281705115428,0.558,0.705,1.20109320789583e-09,"0","TNFAIP3"
"RPLP0",5.117646525931e-14,-0.282944406461784,0.959,0.966,1.2233734020238e-09,"0","RPLP0"
"FAM102A",5.77869147978584e-14,-0.41307240865489,0.036,0.135,1.38139619824281e-09,"0","FAM102A"
"BIRC3",6.27847984187922e-14,-0.627434802357107,0.137,0.275,1.50087060620123e-09,"0","BIRC3"
"CD300A",7.21907718714722e-14,0.517256570282689,0.244,0.121,1.72572040158754e-09,"0","CD300A"
"TBCD",7.64700567293478e-14,-0.426369319012213,0.061,0.176,1.82801670611506e-09,"0","TBCD"
"ADD3",7.72477397226187e-14,0.546942028219925,0.305,0.169,1.8466072180692e-09,"0","ADD3"
"LINC00861",9.93367833106934e-14,0.548489543354763,0.336,0.193,2.37464580504213e-09,"0","LINC00861"
"PRR5",1.02532213051575e-13,0.409894840582666,0.192,0.081,2.4510325529979e-09,"0","PRR5"
"C11orf21",1.08749984018005e-13,0.421628291205451,0.178,0.071,2.5996683679504e-09,"0","C11orf21"
"TNFRSF9",1.21427001283804e-13,-0.562985082814501,0.054,0.161,2.90271246568933e-09,"0","TNFRSF9"
"SAMHD1",1.37335398023502e-13,0.469061949396614,0.26,0.134,3.28300268975183e-09,"0","SAMHD1"
"THEMIS2",1.37677143724113e-13,0.40815888962972,0.119,0.034,3.29117212072493e-09,"0","THEMIS2"
"IKZF1",1.51609563542898e-13,0.411883945306516,0.415,0.263,3.62422661649297e-09,"0","IKZF1"
"RORA",1.58241748117542e-13,0.514011390415547,0.359,0.218,3.78276898874984e-09,"0","RORA"
"DDX5",1.64408594334131e-13,0.357733936101254,0.886,0.837,3.9301874475574e-09,"0","DDX5"
"CTDSP1",2.097622073242e-13,0.442923587294645,0.281,0.152,5.01436556608499e-09,"0","CTDSP1"
"HDDC2",2.15376537800781e-13,0.459596736436245,0.243,0.121,5.14857613612767e-09,"0","HDDC2"
"YBX3",2.25147012248022e-13,-0.435489856118368,0.029,0.12,5.38213932778896e-09,"0","YBX3"
"ITGAL",2.26559167312385e-13,0.44867378348978,0.337,0.201,5.41589689460256e-09,"0","ITGAL"
"TTC16",2.28582869143084e-13,0.31677391456483,0.107,0.028,5.46427348686543e-09,"0","TTC16"
